SignalID,Direction,MovementType,FromEdge,ToEdge
7216,EB,Left,363648686#5,-598977856#0
7216,EB,Uturn,363648686#5,105826050#1
7216,EB,Thru,363648686#5,591388269#1
7216,NB,Left,749736413#1.127,105826050#1
7216,NB,Thru,749736413#1.127,-598977856#0
7216,SB,Left,598977856#0,591388269#1
7216,SB,Thru,598977856#0,10137507#1
7216,WB,Left,683763253#1.209,10137507#1
7216,WB,Uturn,683763253#1.209,591388269#1
7216,WB,Thru,683763253#1.209,105826050#1
7217,EB,Left,683763238#1.51,692513879#1
7217,NB,Left,692123191,-591388261#0
7217,NB,Uturn,692123191,692513882
7217,NB,Thru,692123191,692513879#1
7217,SB,Left,692123188,692513881#1
7217,SB,Uturn,692123188,692513879#1
7217,SB,Thru,692123188,692513882
7217,WB,Left,621228442#1,692513882
7218,EB,Left,10124969#6,692513877#1
7218,NB,Left,591388255#1,-10124969#6
7218,NB,Uturn,591388255#1,692513873
7218,NB,Thru,591388255#1,692513877#1
7218,SB,Left,692513882.255,692513874#0
7218,WB,Uturn,684464938#1,692513874#0
7218,SB,Thru,692513882.255,692513873
7218,WB,Left,684464938#1,692513873
7219,EB,Left,139051731#19,146626842#2
7219,EB,Thru,139051731#19,-591388258#1
7219,NB,Left,146626843#2,-139051731#19
7219,NB,Thru,146626843#2,146626842#2
7219,SB,Left,692513873.472,-591388258#1
7219,SB,Uturn,692513873.472,146626842#2
7219,SB,Thru,692513873.472,146626844#2
7219,WB,Left,591388258#0,146626844#2
7219,WB,Thru,591388258#0,-139051731#19
7220,EB,Left,145218802#37,-207412432#0
7220,EB,Thru,145218802#37,172099960#1
7220,NB,Left,-207412432#3,-145218802#37
7220,NB,Uturn,-207412432#3,207412432#3
7220,NB,Thru,-207412432#3,-207412432#0
7220,SB,Left,207412432#0.28,172099960#1
7220,SB,Uturn,207412432#0.28,-207412432#0
7220,SB,Thru,207412432#0.28,207412432#3
7220,WB,Left,-172099960#1,207412432#3
7220,WB,Thru,-172099960#1,-145218802#37
7221,NB,Left,-69221466#0.18,-697666080
7221,NB,Thru,-69221466#0.18,-10131659#5
7221,SB,Left,10131659#5.37,207412426#0
7221,SB,Thru,10131659#5.37,69221466#0
7221,EB,Left,697666080,-10131659#5
7221,EB,Uturn,697666080,-697666080
7221,EB,Thru,697666080,207412426#0
7221,WB,Left,-207412426#1,69221466#0
7221,WB,Thru,-207412426#1,-697666080
7371,EB,Left,10147126#4,-697666085#15
7371,EB,Thru,10147126#4,10137014#1
7371,NB,Left,-696962877#1.83,-10147126#9
7371,NB,Uturn,-696962877#1.83,696962877#0
7371,NB,Thru,-696962877#1.83,-697666085#15
7371,SB,Left,697666085#15.103,10137014#1
7371,SB,Uturn,697666085#15.103,-697666085#15
7371,SB,Thru,697666085#15.103,696962877#0
7371,WB,Thru,-10137014#3,-10147126#9
7371,WB,Left,-10137014#3,696962877#0
7503,EB,Left,-146626846#0,146626843#0
7503,NB,Thru,600491439#0,146626843#0
7503,SB,Thru,146626844#5.190,146626841#1
7222,NB,Uturn,-697666082#1,697666082#1
7222,SB,Uturn,697666081#0,-697666081#1
7223,NB,Uturn,-697666085#12,697666085#12
7223,SB,Uturn,697666085#9,-697666085#9
7217,WB,Uturn,621228442#1,692513881#1
7222,NB,Thru,-697666082#1,-697666081#1
7222,NB,Left,-697666082#1,-508466788#1
7222,SB,Thru,697666081#0,697666082#1
7222,SB,Left,697666081#0,-145216628#2
7223,NB,Thru,-697666085#12,-697666085#9
7223,NB,Left,-697666085#12,-10133290#0
7223,SB,Thru,697666085#9,697666085#12
7223,SB,Left,697666085#9,10150792#1
