SignalID,Direction,Edge,Main,Phase
7216,EB,363648686#5,1,6
7216,EB,363648686#3,1,6
7216,EB,363648686#2,1,6
7216,EB,363648686#2,1,6
7216,NB,749736413#1.127,0,
7216,NB,749736413#1,0,
7216,SB,598977856#0,0,
7216,SB,10150738,0,
7216,WB,683763253#1.209,1,2
7216,WB,683763253#1,1,2
7217,EB,683763238#1.51,0,
7217,EB,-32921656#0,0,
7217,NB,692123191,1,2
7217,NB,692513877#1.27,1,2
7217,NB,692513877#1,1,2
7217,SB,692123188,1,6
7217,SB,591388269#1.258,1,6
7217,WB,621228442#1,0,
7217,WB,621228442#0,0,
7218,EB,10124969#6,0,
7218,EB,10124969#4,0,
7218,NB,591388255#1,1,2
7218,NB,207412421-AddedOnRampEdge,1,2
7218,NB,146626842#2,1,2
7218,SB,692513882.255,1,6
7218,SB,692513882.119,1,6
7218,SB,692513882,1,6
7218,WB,684464938#1,0,
7219,EB,139051731#19,0,
7219,EB,139051731#16,0,
7219,NB,146626843#2,1,2
7219,NB,146626843#0.250.97,1,2
7219,NB,146626843#0.250,1,2
7219,NB,146626843#0,1,2
7219,SB,692513873.472,1,6
7219,SB,692513873,1,6
7219,WB,591388258#0,0,
7219,WB,683763247#0,0,
7220,EB,145218802#37,0,
7220,EB,145218802#36,0,
7220,NB,-207412432#3,1,2
7220,NB,-207412432#8.103,1,2
7220,NB,-207412432#8,1,2
7220,NB,-697666080.66,1,2
7220,NB,-697666080,1,2
7220,SB,207412432#0.28,1,6
7220,SB,146626839#0.73,1,6
7220,SB,146626839#0,1,6
7220,SB,146626841#1,1,6
7220,WB,-172099960#1,0,
7220,WB,-172099960#8,0,
7221,NB,-69221466#0.18,0,
7221,NB,-69221466#0,0,
7221,NB,-69221466#3,0,
7221,SB,10131659#5.37,0,
7221,SB,10131659#5,0,
7221,SB,10131659#5,0,
7221,SB,-10128856#0,0,
7221,EB,697666080,1,6
7221,EB,207412432#4.140,1,6
7221,EB,207412432#4,1,6
7221,EB,207412432#3,1,6
7221,WB,-207412426#1,1,2
7221,WB,-697666084,1,2
7221,WB,-697666083#6.199,1,2
7221,WB,-697666083#6,1,2
7221,WB,-697666081#1,1,2
7222,NB,-697666082#1,1,2
7222,NB,-697666085#8.761,1,2
7222,NB,-697666085#8,1,2
7222,NB,-697666085#9,1,2
7222,SB,697666081#0,1,6
7222,SB,697666083#0.332,1,6
7222,SB,697666083#0,1,6
7222,SB,697666084,1,6
7222,SB,207412426#0,1,6
7222,EB,508466788#0,0,
7222,EB,69232295#0,0,
7222,WB,145216628#2,0,
7222,WB,145216628#1,0,
7223,NB,-697666085#12,1,2
7223,NB,-697666085#15,1,2
7223,SB,697666085#9,1,6
7223,SB,697666085#0.242,1,6
7223,SB,697666085#0,1,6
7223,SB,697666082#1,1,6
7223,EB,10133290#0,0,
7223,EB,10133292,0,
7223,WB,-10150792#1,0,
7223,WB,-10150792#4,0,
7371,EB,10147126#4,0,
7371,NB,-696962877#1.83,1,2
7371,NB,-696962877#4,1,2
7371,NB,-632830121#1,1,2
7371,SB,697666085#15.103,1,6
7371,SB,697666085#13.295,1,6
7371,SB,697666085#13,1,6
7371,SB,697666085#12,1,6
7371,WB,-10137014#3,0,
7503,EB,-146626846#0,0,
7503,EB,-146626846#5,0,
7503,NB,600491439#0,1,2
7503,NB,-207412432#0.230,1,2
7503,NB,-207412432#0,1,2
7503,SB,146626844#5.190,1,6
7503,SB,146626844#2.308,1,6
7503,SB,146626844#2,1,6
7274,EB,591388269#1.160,1,6
7274,EB,591388269#1,1,6
7274,WB,692513879#1,1,2
