signalid,phaseid,order,distance,cum_distance
7216,6,1,0,0
7274,6,2,0.16780303,0.16780303
7217,6,3,0.34,0.50780303
7218,6,4,0.184848485,0.692651515
7219,6,5,0.346,1.038651515
7503,6,6,0.369,1.407651515
7220,6,7,0.301,1.708651515
7221,6,8,0.221212121,1.929863636
7222,6,9,0.452,2.381863636
7223,6,10,0.606,2.987863636
7371,6,11,0.315,3.302863636
7371,2,1,0,0
7223,2,2,0.315,0.315
7222,2,3,0.606,0.921
7221,2,4,0.452,1.373
7220,2,5,0.221212121,1.594212121
7503,2,6,0.301,1.895212121
7219,2,7,0.369,2.264212121
7218,2,8,0.346,2.610212121
7217,2,9,0.184848485,2.795060606
7274,2,10,0.34,3.135060606
7216,2,11,0.16780303,3.302863636
