SignalID,Direction,MovementType,Uturn
7216,EB,Left,1
7216,NB,Left,0
7216,SB,Left,0
7216,WB,Left,1
7217,EB,Left,0
7217,NB,Left,1
7217,SB,Left,1
7217,WB,Left,1
7218,EB,Left,0
7218,NB,Left,1
7218,SB,Left,0
7218,WB,Left,1
7219,EB,Left,0
7219,NB,Left,0
7219,SB,Left,1
7219,WB,Left,0
7220,EB,Left,0
7220,NB,Left,1
7220,SB,Left,1
7220,WB,Left,0
7221,NB,Left,0
7221,SB,Left,0
7221,EB,Left,1
7221,WB,Left,0
7222,NB,Left,1
7222,SB,Left,1
7222,EB,Left,0
7222,WB,Left,0
7223,NB,Left,1
7223,SB,Left,1
7223,EB,Left,0
7223,WB,Left,0
7371,EB,Left,0
7371,EB,Left,0
7371,NB,Left,1
7371,SB,Left,1
7503,EB,Left,0
