signalid,planid,offset,cycle_length,offset_start,offset_end,seq_start,seq_end,cycle_start,cycle_end,minC,maxC
7216,2,149,160,0,4,44,46,52,56,70,180
7217,0,85,160,4,8,,,52,56,70,180
7218,2,75,160,8,12,46,48,52,56,70,180
7219,0,64,160,12,16,48,50,52,56,70,180
7503,0,85,160,16,20,,,52,56,70,180
7220,3,96,160,20,24,50,52,52,56,70,180
7221,0,107,160,24,28,,,52,56,70,180
7222,0,75,160,28,32,,,52,56,70,180
7223,0,139,160,32,36,,,52,56,70,180
7371,0,11,160,36,40,,,52,56,70,180
7274,0,87,100,40,44,,,56,60,70,180
