signalid,phaseid,start_index,end_index,right_turn_index,permissive_left_start_index,permissive_left_end_index
7216,1,18,21,999,999,999
7216,2,4,8,4,999,999
7216,3,2,4,999,999,999
7216,4,10,13,10,999,999
7216,5,8,10,999,999,999
7216,6,14,18,14,999,999
7216,7,13,14,999,999,999
7216,8,0,2,0,999,999
7217,8,0,4,0,999,999
7217,2,4,7,999,7,9
7217,4,9,10,9,10,11
7217,6,11,15,11,999,999
7217,1,15,18,999,999,999
7218,1,0,1,0,999,999
7218,8,1,4,999,999,999
7218,2,4,7,999,999,999
7218,5,7,9,999,999,999
7218,4,9,10,9,10,11
7218,6,11,15,11,999,999
7218,1,15,17,999,999,999
7219,8,0,2,999,999,999
7219,3,2,4,999,999,999
7219,2,4,8,4,999,999
7219,5,8,10,9,999,999
7219,4,10,12,999,999,999
7219,7,12,13,999,999,999
7219,6,13,17,13,999,999
7219,1,17,19,999,999,999
7503,2,0,3,999,999,999
7503,4,3,6,3,999,999
7503,6,6,10,6,999,999
7220,8,0,2,0,2,3
7220,2,3,7,999,999,999
7220,5,7,9,999,999,999
7220,4,9,11,9,11,12
7220,6,12,16,12,999,999
7220,1,16,18,999,999,999
7221,3,0,4,0,999,999
7221,2,4,8,4,8,9
7221,4,9,13,9,999,999
7221,6,13,17,13,17,19
7222,8,0,2,0,2,3
7222,2,3,6,3,6,8
7222,4,8,10,8,10,11
7222,6,11,14,11,14,16
7223,8,0,2,0,2,3
7223,2,3,6,3,6,8
7223,4,8,10,8,10,11
7223,6,11,14,11,14,16
7371,8,0,2,0,2,3
7371,2,3,6,3,6,8
7371,4,8,10,8,10,11
7371,6,11,14,11,14,16
7274,2,0,3,999,999,999
7274,6,3,6,999,999,999
7274,4,6,8,999,999,999
